Governor's Island/Ellis Island/Liberty Island,Manhattan,631.2000000000
Great Kills Park,Staten Island,116.7250000000
Rikers Island,Bronx,82.0420000000
Rossville/Woodrow,Staten Island,66.5438271605
Freshkills Park,Staten Island,37.7469387755
Eltingville/Annadale/Prince's Bay,Staten Island,25.9042534722
Oakwood,Staten Island,24.5232638889
Great Kills,Staten Island,23.6747041420
Broad Channel,Queens,15.4981930027
West Brighton,Staten Island,14.0573347107
Port Richmond,Staten Island,11.0098530963
New Dorp/Midland Beach,Staten Island,9.7293733180
Westerleigh,Staten Island,8.7748204518
Jamaica Bay,Queens,8.7695022804
Breezy Point/Fort Tilden/Riis Beach,Queens,6.8507965262
Grymes Hill/Clifton,Staten Island,6.7096938938
Mariners Harbor,Staten Island,5.5881766627
Stapleton,Staten Island,5.5417066118
South Beach/Dongan Hills,Staten Island,4.7956512000
Arrochar/Fort Wadsworth,Staten Island,4.4248365776
